Page,Meta description
https://docs.codacy.com/chart/troubleshoot/logs-collect/,"To help troubleshoot issues, obtain the logs from your Codacy Self-hosted instance and send them to Codacy's Support."
https://docs.codacy.com/chart/troubleshoot/troubleshoot/,"This page includes information to help you troubleshoot issues that you may come across while installing, configuring, and operating Codacy Self-hosted."
https://docs.codacy.com/codacy-api/api-tokens/,"Create an account API token to authorize access to all the repositories that you have access to, or a project API token to authorize access only to a specific repository."
https://docs.codacy.com/codacy-api/using-the-codacy-api/,The Codacy API allows you to programmatically retrieve and analyze data from Codacy and perform a few configuration changes.
https://docs.codacy.com/codacy-api/examples/adding-repositories-to-codacy-programmatically/,Example of how to add multiple repositories programmatically using Codacy's API v3 endpoint addRepository.
https://docs.codacy.com/codacy-api/examples/obtaining-code-quality-metrics-for-files/,Example of how to obtain code quality metrics for files in a repository programmatically using the Codacy API endpoint listFiles.
https://docs.codacy.com/codacy-api/examples/obtaining-current-issues-in-repositories/,Example of how to obtain information about issues in a repository programmatically using the Codacy API endpoint searchRepositoryIssues.
https://docs.codacy.com/coverage-reporter/,Generate coverage reports in a supported format and upload them to Codacy to monitor the test coverage of your repositories on Codacy.
https://docs.codacy.com/coverage-reporter/alternative-ways-of-running-coverage-reporter/,"There are alternative ways of running or installing Codacy Coverage Reporter, such as running a Docker image, downloading a binary for your operating system, or building the binary from source."
https://docs.codacy.com/coverage-reporter/troubleshooting-common-issues/,Instructions or workarounds to overcome common issues while using Codacy Coverage Reporter.
https://docs.codacy.com/faq/code-analysis/does-codacy-check-for-dependencies/,"Codacy doesn't check for dependencies. Codacy performs static code analysis on the source code and checks for code style and security issues, duplication, complexity, and coverage."
https://docs.codacy.com/faq/code-analysis/does-codacy-place-limits-on-the-code-analysis/,Codacy uses limits when performing the analysis of your repositories to ensure good performance levels and avoid degradation of service during peak load.
https://docs.codacy.com/faq/code-analysis/how-does-codacy-measure-complexity-in-my-repository/,Codacy uses cyclomatic complexity to identify complex files in your repository.
https://docs.codacy.com/faq/code-analysis/how-long-does-it-take-for-my-repository-to-be-analyzed/,"Codacy usually takes under 5 minutes to analyze your repository, however it may take longer as this depends on the size of your repository."
https://docs.codacy.com/faq/code-analysis/how-to-configure-php-codesniffer-coding-standards/,To enforce a specific PHP_CodeSniffer coding standard on Codacy you must create a configuration file on the root of your repository that references one or more coding standards.
https://docs.codacy.com/faq/code-analysis/how-to-skip-an-analysis/,"By default, Codacy automatically analyzes a repository whenever you push changes. However, you can override this behavior by adding the tag [ci skip] or [skip ci] anywhere in the subject or body of the commit message. For example:"
https://docs.codacy.com/faq/general/how-can-i-change-or-cancel-my-plan/,"You can change or cancel your Codacy plan at any time. If you choose to cancel your annual subscription before the conclusion of the 12 months, your account will continue to work for the remainder of the annual billing period."
https://docs.codacy.com/faq/general/how-do-i-allowlist-codacy-cloud-on-my-git-provider/,Enable static IP addresses for your Codacy organization so that you can allowlist Codacy Cloud on your Git provider.
https://docs.codacy.com/faq/general/how-do-i-change-my-email-address-on-codacy/,Codacy will always pull email addresses from your current session in your Git provider. Your account email addresses are visible on your Emails page.
https://docs.codacy.com/faq/general/how-does-codacy-keep-my-data-secure/,Keeping our customers' data protected at all times is our highest priority. This security overview provides a high-level overview of the security practices put in place to achieve that objective.
https://docs.codacy.com/faq/general/how-does-codacy-protect-my-privacy/,"At Codacy, keeping your personal data safe has always been a top priority and we look at GDPR as another opportunity for us to strengthen this commitment to you."
https://docs.codacy.com/faq/general/how-does-codacy-support-bitbucket-cloud/,"When you use Bitbucket Cloud to sign up or log into Codacy, the Bitbucket teams that you belong to will be available to be added as Organizations on Codacy."
https://docs.codacy.com/faq/general/how-does-codacy-support-bitbucket-server/,"When you use Bitbucket Server to sign up or log into Codacy, the Bitbucket projects that you belong to will be available to be added as Organizations on Codacy."
https://docs.codacy.com/faq/general/how-does-codacy-support-gitlab-cloud/,"When you use GitLab Cloud to sign up or log into Codacy, the GitLab Groups that you belong to will be available to be added as Organizations on Codacy."
https://docs.codacy.com/faq/general/how-does-codacy-support-gitlab-enterprise/,"When you use GitLab Enterprise to sign up or log into Codacy, the GitLab Groups that you belong to will be available to be added as Organizations on Codacy."
https://docs.codacy.com/faq/general/which-browsers-does-codacy-support/,Codacy runs on every modern browser supporting HTML5 and CSS3.
https://docs.codacy.com/faq/general/which-version-control-systems-does-codacy-support/,"Codacy supports the cloud and self-hosted versions of GitHub, GitLab, and Bitbucket."
https://docs.codacy.com/faq/general/why-cant-i-see-my-organization/,Try these steps if you don't see your organization when adding your organization on Codacy.
https://docs.codacy.com/faq/repositories/how-do-i-migrate-a-legacy-repository-to-a-synced-organization/,"If you have legacy personal repositories or repositories in manual organizations, you can migrate these repositories to a synced organization while keeping your Codacy configurations and analysis history."
https://docs.codacy.com/faq/repositories/how-do-i-reanalyze-my-repository/,"To reflect the most recent configurations for your repository on the Codacy analysis results without waiting for a new commit to trigger the analysis, reanalyze the last commit in your branch or pull request."
https://docs.codacy.com/faq/repositories/how-do-i-set-codacy-as-a-required-check-to-merge-prs/,Configure your Git provider to block merging pull requests until they pass the Codacy analysis check.
https://docs.codacy.com/faq/repositories/i-moved-my-repository-on-the-git-provider/,"Currently, Codacy doesn't automatically detect moves of repositories between two organizations."
https://docs.codacy.com/faq/repositories/i-renamed-my-repository-on-the-git-provider/,"If you changed the name or URL of your repository on your Git provider, you can update the name and URL of the repository on Codacy to point to the new location. This ensures that you won't lose historical data about your repository on Codacy."
https://docs.codacy.com/faq/repositories/what-are-the-different-grades-and-how-are-they-calculated/,Documentation for the Codacy automated code review tool.
https://docs.codacy.com/faq/repositories/why-cant-i-see-or-add-my-organizations-repositories/,"If you can't see or add your organization's repositories, or have any problems regarding metrics (for example, you can't see any issues and your pull requests aren't analyzed), please check if your user account has a duplicated copy of the repository on the organization."
https://docs.codacy.com/faq/troubleshooting/error-line-endings/,Codacy executes the git diff command when analyzing new commits and pull requests to identify the lines of code that were changed. Codacy then uses this information to display the issues that were caused by the changes introduced by the commits or pull requests.
https://docs.codacy.com/faq/troubleshooting/not-a-member-of-the-organization/,When you see the message Not a member of the organization it means that Codacy can't analyze a commit because the associated email address doesn't belong to any Codacy user.
https://docs.codacy.com/faq/troubleshooting/we-no-longer-have-access-to-this-repository/,"Troubleshoot and fix issues that prevent Codacy from cloning your repository, such as moving the repository or changing the permissions of the user that added the repository to Codacy."
https://docs.codacy.com/faq/troubleshooting/why-arent-duplication-metrics-being-calculated/,"For performance reasons, Codacy skips the calculation of code duplication for programming languages that have more than 5000 source code files in a repository."
https://docs.codacy.com/faq/troubleshooting/why-did-codacy-stop-commenting-on-pull-requests/,"Different reasons can cause Codacy to stop analyzing and commenting on pull requests, but the most common is that the user who initially enabled the Git provider integration no longer has permissions on the repository or that the SSH key is no longer valid."
https://docs.codacy.com/faq/troubleshooting/why-is-my-file-over-150-kb-missing/,"Codacy Cloud currently doesn't analyze files that are larger than 150 KB. Codacy doesn't display these files on the Files page, and doesn't take them into account when grading your repository."
https://docs.codacy.com/faq/troubleshooting/why-isnt-my-public-repository-being-analyzed/,Codacy only analyzes open-source repositories if the owner of the repository is a committer to that repository.
https://docs.codacy.com/getting-started/adding-a-codacy-badge/,Add a Codacy badge to the README of your repository to display the current code quality grade or code coverage of your code.
https://docs.codacy.com/getting-started/codacy-quickstart/,"Set up Codacy to automatically analyze your source code and identify issues as you go, helping you develop software more efficiently with fewer issues down the line. Codacy notifies you of security issues, code coverage, duplication, and complexity in every commit and pull request."
https://docs.codacy.com/getting-started/supported-languages-and-tools/,"List of tools that Codacy uses to analyze over 40 supported languages and frameworks. Codacy provides static analysis for all programming languages and cloud infrastructure-as-code frameworks as well as code duplication, code complexity, and test coverage metrics for most programming languages."
https://docs.codacy.com/getting-started/which-permissions-does-codacy-need-from-my-account/,Review the list of permissions that Codacy requires from your Git provider to analyze your code.
https://docs.codacy.com/organizations/changing-your-plan-and-billing/,"Each organization on Codacy has a dedicated plan and associated billing. To make changes to the plan and billing of an organization, open your organization Settings, page Plan and billing."
https://docs.codacy.com/organizations/copying-code-patterns-between-repositories/,Copy tool and pattern configurations in bulk between your repositories to help you bootstrap and standardize the coding standards in your organization.
https://docs.codacy.com/organizations/managing-people/,"Members of an organization can see the details of the repositories in that organization and add new repositories to be analyzed by Codacy. Besides this, Codacy only analyzes commits to private repositories from contributors who are members of the corresponding organization on Codacy."
https://docs.codacy.com/organizations/managing-repositories/,"To see a list of the repositories that Codacy is monitoring, open the page Repositories under your organization."
https://docs.codacy.com/organizations/organization-overview/,The Organization Overview provides an overview of repositories that belong to the same Git provider organization. Here you can compare their statuses and check for items that require your attention.
https://docs.codacy.com/organizations/roles-and-permissions-for-synced-organizations/,"List of operations that users can perform on Codacy depending on their permissions on the Git provider, and how to configure who can change analysis configurations."
https://docs.codacy.com/organizations/what-are-synced-organizations/,"Synced organizations let you automatically import your Git provider organizations, repositories (including your personal repositories that don't belong to a Git provider organization), and team members into Codacy with a few clicks."
https://docs.codacy.com/organizations/manual-organizations/administrative-permissions/,Organization permissions allow fine-grained control over your organization's members and repositories.
https://docs.codacy.com/organizations/manual-organizations/creating-and-managing-teams/,You can create and manage teams on the Teams page for your legacy manual organization on Codacy.
https://docs.codacy.com/organizations/manual-organizations/creating-and-renaming-an-organization/,"From April 3rd, 2020 onward it's no longer possible to create new Manual Organizations on Codacy cloud, although you can continue using your existing Manual Organizations."
https://docs.codacy.com/organizations/manual-organizations/managing-team-repositories/,You will be able to add and remove repositories from a team after it has been added to your organization.
https://docs.codacy.com/organizations/manual-organizations/share-your-repository-with-a-non-codacy-user/,"If you're a Codacy Cloud user, you can share your Repository Dashboard with a non-Codacy user by using a link that doesn't require a login."
https://docs.codacy.com/related-tools/codacy-plugin-tools/,"Codacy uses a system of plugin tools to extend the scope of analyses on your repositories, allowing support for new languages and tools every day."
https://docs.codacy.com/related-tools/local-analysis/client-side-tools/,"Client-side tools enable you to run analysis either locally or as part of your CI process and integrating the results into your Codacy workflow. This way, Codacy presents the analysis information reported by your local tools alongside all other code quality information on the Codacy dashboards."
https://docs.codacy.com/related-tools/local-analysis/running-aligncheck/,Instructions on how to run aligncheck as a client-side tool on Codacy.
https://docs.codacy.com/related-tools/local-analysis/running-deadcode/,Instructions on how to run deadcode as a client-side tool on Codacy.
https://docs.codacy.com/related-tools/local-analysis/running-local-analysis/,Documentation for the Codacy automated code review tool.
https://docs.codacy.com/related-tools/local-analysis/running-spotbugs/,Instructions on how to run SpotBugs as a client-side tool on Codacy.
https://docs.codacy.com/release-notes/,Index of release notes for Codacy Cloud and Codacy Self-hosted.
https://docs.codacy.com/release-notes/cloud/cloud-2018-07-23/,"Release notes for Codacy Cloud July 23, 2018."
https://docs.codacy.com/release-notes/cloud/cloud-2018-10-19/,"Release notes for Codacy Cloud October 19, 2018."
https://docs.codacy.com/release-notes/cloud/cloud-2018-11-02/,"Release notes for Codacy Cloud November 2, 2018."
https://docs.codacy.com/release-notes/cloud/cloud-2018-11-16/,"Release notes for Codacy Cloud November 16, 2018."
https://docs.codacy.com/release-notes/cloud/cloud-2019-01-02/,"Release notes for Codacy Cloud January 2, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-02-18-bitbucket-changes/,"We're making some changes on February 18, 2019 that will cause all existing integrations with Bitbucket to stop working."
https://docs.codacy.com/release-notes/cloud/cloud-2019-03-29/,"Release notes for Codacy Cloud March 29, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-04-08/,"Release notes for Codacy Cloud April 8, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-05-05/,"Release notes for Codacy Cloud May 5, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-05-20/,"Release notes for Codacy Cloud May 20, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-06-18/,"Release notes for Codacy Cloud June 18, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-08-07/,"Release notes for Codacy Cloud August 7, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-09-05/,"Release notes for Codacy Cloud September 5, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-10-30/,"Release notes for Codacy Cloud October 30, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2019-11-15/,"Release notes for Codacy Cloud November 15, 2019."
https://docs.codacy.com/release-notes/cloud/cloud-2020-02-github-apps/,"We're changing the way you authenticate to Codacy with GitHub: Starting February 2020, when you sign in, you'll be prompted to use GitHub Apps."
https://docs.codacy.com/release-notes/cloud/cloud-2020-03-09-nodesecurity-golint-scsslint-removal/,"On the week of March 9th 2020, we'll be removing some tools from Codacy."
https://docs.codacy.com/release-notes/cloud/cloud-2020-04-01-deprecating-http-headers-for-api-tokens/,"On April 1st, 2020 we're deprecating the api_token and project_token HTTP headers used to authenticate to the Codacy API."
https://docs.codacy.com/release-notes/cloud/cloud-2021-07-03-scheduled-db-maintenance/,"On July 3, 2021, starting at 08:00 UTC we'll perform scheduled database maintenance to improve the performance and scalability of Codacy Cloud."
https://docs.codacy.com/release-notes/cloud/cloud-2021-08/,Release notes for Codacy Cloud August 2021.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.0.0/,Release notes for Codacy Self-hosted v1.0.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.0.1/,Release notes for Codacy Self-hosted v1.0.1.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.1.0/,Release notes for Codacy Self-hosted v1.1.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.2.0/,Release notes for Codacy Self-hosted v1.2.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.3.0/,Release notes for Codacy Self-hosted v1.3.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.4.0/,Release notes for Codacy Self-hosted v1.4.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v1.5.0/,Release notes for Codacy Self-hosted v1.5.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v2.0.0/,Release notes for Codacy Self-hosted v2.0.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v2.1.0/,Release notes for Codacy Self-hosted v2.1.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v2.1.1/,Release notes for Codacy Self-hosted v2.1.1.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v2.2.0/,Release notes for Codacy Self-hosted v2.2.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v2.2.1/,Release notes for Codacy Self-hosted v2.2.1.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.0.0/,Release notes for Codacy Self-hosted v3.0.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.1.0/,Release notes for Codacy Self-hosted v3.1.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.2.0/,Release notes for Codacy Self-hosted v3.2.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.3.0/,Release notes for Codacy Self-hosted v3.3.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.4.0/,Release notes for Codacy Self-hosted v3.4.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.5.0/,Release notes for Codacy Self-hosted v3.5.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v3.5.1/,Release notes for Codacy Self-hosted v3.5.1.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v4.0.0/,Release notes for Codacy Self-hosted v4.0.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v4.0.1/,Release notes for Codacy Self-hosted v4.0.1.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v4.1.0/,Release notes for Codacy Self-hosted v4.1.0.
https://docs.codacy.com/release-notes/self-hosted/self-hosted-v4.2.0/,Release notes for Codacy Self-hosted v4.2.0.
https://docs.codacy.com/repositories/commits/,"The commits page gives you an overview of the repository's commits, providing valuable information about changes and quality improvements. Click on the row of a commit to see more details."
https://docs.codacy.com/repositories/files/,The Files page displays the current code quality information for each analyzed file in your active repository branches.
https://docs.codacy.com/repositories/issues/,"The Issues page lists all the issues that Codacy detected in your repository, including the severity level and category of each issue."
https://docs.codacy.com/repositories/repository-dashboard/,The Repository Dashboard provides an overview of the repository code quality and items that require your attention.
https://docs.codacy.com/repositories/security-monitor/,The Security Monitor provides an overview of all current security issues.
https://docs.codacy.com/repositories-configure/adjusting-quality-settings/,"The Quality settings give you control over the status of analyzed commits and pull requests, as well as the quality level thresholds in your repository dashboard. This feature also allows you to turn off metrics like duplication or complexity."
https://docs.codacy.com/repositories-configure/codacy-configuration-file/,"Use the Codacy configuration file to configure advanced features on Codacy with more control such as ignoring files for duplication or a specific tool, configuring the root directory to start the analysis, and adding custom file extensions to languages."
https://docs.codacy.com/repositories-configure/configuring-code-patterns/,Configure the tools and code patterns that Codacy uses to analyze your repositories to create a coding standard adapted to your scenario.
https://docs.codacy.com/repositories-configure/file-extensions/,"If your repository has source files with unrecognized extensions, you can configure Codacy to include them in the next analysis."
https://docs.codacy.com/repositories-configure/ignoring-files/,Ignore or exclude files from the Codacy analysis and see the list of files that Codacy already ignores by default.
https://docs.codacy.com/repositories-configure/managing-branches/,"Codacy automatically triggers analysis on the main branch of your repository (typically master or main), and also supports analyzing multiple branches."
https://docs.codacy.com/repositories-configure/removing-your-repository/,"To stop Codacy from analyzing your repository, you must remove the repository from Codacy. This operation deletes the configurations and data related to your repository on Codacy but doesn't remove the repository from your Git provider."
https://docs.codacy.com/repositories-configure/using-submodules/,"Git submodules allow you to keep a Git repository as a subdirectory within another Git repository. Git submodules are helpful in maintaining a shared configuration file for your team, and then applying it to multiple Git repositories."
https://docs.codacy.com/repositories-configure/integrations/bitbucket-integration/,"Enable the Bitbucket integration to have pull request status, comments, and analysis summaries from Codacy directly on pull requests."
https://docs.codacy.com/repositories-configure/integrations/github-integration/,"Enable the GitHub integration to have status checks, annotations, analysis summaries, and suggested fixes from Codacy directly on pull requests."
https://docs.codacy.com/repositories-configure/integrations/gitlab-integration/,"Enable the GitLab integration to have merge request status, comments, and analysis summaries from Codacy directly on merge requests."
https://docs.codacy.com/repositories-configure/integrations/jira-integration/,The Jira integration incorporates Codacy on your existing Jira workflows.
https://docs.codacy.com/repositories-configure/integrations/post-commit-hooks/,For Codacy to check updates in your repository (new commits and pull requests) you must have post-commit hooks enabled.
https://docs.codacy.com/repositories-configure/integrations/slack-integration/,Enable the Slack integration to integrate Codacy with Slack by sending messages to a channel when it finds new issues.
https://docs.codacy.com/repositories-configure/integrations/webhook-notifications/,Codacy integrates with any service by sending a POST message to a defined address.
